county,year,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
ILFOV,2016,64454,64234,76387,0,17169,978,48464,3584,872,46,2016,0,0,20389,21780,448,20207,2754,20598,3398,6467,4958,4713,2134,911,3345,445,603,22169,35799,4105,4094,11,388,266,399,592,860,293,29
BUCURESTI,2016,77,54,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,1248,0,8,6,0,0,0,0,0,0,58,188,0,0,0,25,0,11,23,16,16,0
ARGES,2016,153465,153319,136318,2,8576,9149,161367,18319,94,71,36195,0,9574,11120,17226,675,17007,164,17921,1640,575,1821,2256,1118,629,9019,96,877,24891,164595,2827,2740,87,39453,6462,67238,1280,2967,140,1410
CALARASI,2016,394165,391425,613625,45,183652,1494,522785,3867,14712,232,308,0,30,181163,97921,43388,2780,120,5030,469,2741,724,859,1454,165,2631,425,412,27829,119703,10925,10863,62,729,525,707,231,120,146,186
DAMBOVITA,2016,157200,157029,99573,0,24011,15229,178519,6909,832,275,47455,0,830,13109,15933,183,189672,1563,35618,7544,5505,7980,9880,15539,2113,14190,390,1386,59765,117387,1281,1258,23,61688,4273,44416,967,2009,488,1016
GIURGIU ,2016,243284,241267,289733,38,94086,1252,191248,12312,2866,253,3563,0,0,59534,55697,4597,16822,538,16034,4420,6509,4920,6632,548,1284,3681,936,676,43866,65312,9731,9405,326,1952,540,1994,1558,1883,219,503
IALOMITA,2016,349927,349316,539668,123,105061,578,432887,1743,10670,481,21,0,0,196476,135316,16443,14531,2959,9489,3224,46059,9876,22463,2384,541,3228,916,1066,28129,139984,11894,11856,38,181,51,402,233,269,89,54
PRAHOVA,2016,142824,142273,157447,77,25565,1506,209229,1800,87,43,23928,0,2714,28358,36165,1156,14229,360,15764,2694,343,1656,3717,2449,1104,4267,305,752,40132,73643,28327,27838,489,10966,2751,27780,1306,2308,673,1367
TELEORMAN,2016,375803,374012,580409,401,105870,6529,263332,8706,2918,469,1310,0,0,86501,96575,1176,20964,795,17500,2685,14405,3266,3164,1099,3090,11573,607,723,67121,73095,19844,19813,31,949,458,1706,1121,636,154,423
DOLJ,2016,493159,492740,663827,6188,120372,8600,396105,21934,3483,626,6326,0,440,46277,154412,4994,35960,917,29662,4713,125573,4009,7211,2630,3034,7778,1137,1932,48186,181008,35177,34739,438,1891,887,4528,991,1683,215,319
GORJ,2016,87049,87049,29680,34,2241,4673,187242,7304,139,286,30915,0,5551,0,76,0,18707,0,7599,3291,0,2098,2468,5671,921,10579,530,2755,98,68116,9318,9318,0,6633,1149,26731,1008,2027,237,1098
MEHEDINTI,2016,150733,150732,161045,670,15960,7916,201282,4563,2710,1630,4151,0,151,20246,53393,279,21307,638,5836,1782,13582,1161,2390,1364,1749,9687,868,1584,219,49274,11267,10960,307,13546,1756,23113,806,3112,582,1137
OLT,2016,381038,380092,440377,0,43140,9135,291032,17548,2248,612,8304,0,32,43681,91526,3317,30041,1178,27585,7326,28226,8133,12382,1974,2679,6373,817,756,23510,143166,17845,17628,217,5858,809,27490,2279,2216,439,722
VALCEA,2016,70526,70526,30122,0,1422,4310,167753,1690,0,169,27076,0,529,392,1165,20,18636,400,13174,2663,115,2698,5481,2500,1100,9205,113,588,3746,80047,21952,21177,775,15886,2025,46598,1036,1946,290,1778
ARAD,2016,359566,356443,407658,108,49228,66956,649972,21831,1257,77,7729,117546,2480,77982,122673,9543,51171,2856,32860,9650,20945,7266,11972,12676,3286,14848,2305,2190,81454,227761,7510,7000,510,4457,591,5101,249,1009,591,834
CARAS_SEVERIN,2016,87517,87517,58609,645,2140,1452,119007,7186,0,14,40124,0,95,11715,15856,2828,3474,16,3297,826,0,431,751,2158,314,3094,196,249,34150,277256,1761,1716,45,6753,664,17799,351,1181,470,950
HUNEDOARA,2016,52101,52095,31272,25,1755,63,49133,1823,68,22,87395,120,23952,339,754,345,16098,523,6083,2583,75,1727,3536,4156,1662,8956,225,2010,43101,130817,0,0,0,7027,964,20337,244,1317,392,1020
TIMIS,2016,434850,434628,660891,0,69422,9199,1136174,13914,271,92,20855,39900,4336,29030,139780,8952,55898,3690,16303,6330,19038,4116,7075,7100,1635,11209,596,1047,36054,269941,19794,19036,758,3894,775,11092,1460,1379,2378,740
BIHOR,2017,285605,285596,336943,1185,80565,30160,537388,1638,672,223,75032,102159,6244,22975,55649,14378,23097,5457,14672,4865,11461,4882,5035,5216,1012,4085,1171,2396,98124,586278,12579,12302,277,12370,1912,11263,1877,1230,4866,1565
BISTRITA_NASAUD,2017,61679,61679,12653,4,7795,8090,86367,1031,0,8,90158,3051,8744,23,863,85,13167,96,4453,1139,0,1115,953,2761,572,3586,6,565,101720,229224,2309,2245,64,18724,726,7781,58,1775,9,1148
CLUJ,2017,108274,107677,47819,0,41018,13214,192241,3867,518,766,111018,35449,4596,2472,6748,4336,30934,1515,15914,6292,598,1447,2292,12130,1380,10551,510,4457,139710,256591,1000,1000,0,5782,1372,7423,282,481,182,739
MARAMURES,2017,63652,63651,12275,26,2114,6631,102779,9241,0,201,158254,6,6079,34,2442,0,8179,86,2750,1378,0,833,1334,1976,795,2261,12,474,28512,358811,1178,1178,0,16908,1952,8113,31,1723,99,2303
SATU_MARE,2017,205648,205236,174384,481,23659,16255,464520,38927,1105,159,31686,56215,41799,45033,66118,24525,35895,2745,16168,7430,3167,5981,4000,5732,669,2437,506,1837,125399,287995,13545,13495,50,16475,1364,19535,535,1736,646,1452
SALAJ,2017,70744,70646,23922,0,6327,11768,120703,9060,167,1,96524,0,2906,584,6762,1901,10434,563,6372,2565,0,1318,2737,5606,1171,6413,220,1031,41882,266818,7737,7691,46,16206,1460,18029,587,771,334,1736
ALBA,2017,118142,118095,66201,158,14606,4287,268119,7911,62,56,55853,12431,4622,3269,11830,2035,22543,298,19211,3948,101,2274,4307,13015,2016,14445,90,1761,166063,347145,37567,37567,0,6833,2131,6207,708,968,1088,1524
BRASOV,2017,69976,69846,36971,1071,16374,2284,47172,10171,2363,0,131009,132565,17505,6448,277,3208,3865,20,1092,228,0,26,48,1123,27,1906,10,128,188287,367870,0,0,0,3953,650,1975,245,142,2,81
COVASNA,2017,83454,83449,109861,2280,20358,2972,62490,5468,448,120,289048,119965,12243,5711,982,1247,23391,20,1380,592,0,9,15,2640,181,13484,58,97,124397,220928,0,0,0,2843,146,2477,1,341,1,719
HARGHITA,2017,52261,52255,34539,2111,16220,8508,10607,5075,41,0,214091,6255,4,34,0,8,6506,0,315,23,0,0,45,2500,24,2028,7,6,94590,220803,0,0,0,3330,337,1436,0,161,1,252
MURES,2017,181805,181805,108803,328,25581,15871,404333,11733,467,244,102730,111716,5043,9165,17064,9642,25960,1426,18057,6079,2807,3586,6766,11912,1781,16175,688,1704,238689,722092,4265,4265,0,13961,1277,6082,177,1202,149,1416
SIBIU,2017,68401,68400,21100,133,5504,1607,143662,6011,360,59,63328,24094,3740,1241,822,1128,15769,480,3688,2983,0,674,1240,3949,491,5186,172,527,93518,334726,599,599,0,9093,421,3739,43,279,52,260
BACAU,2017,150427,150390,66038,36,8979,4197,421313,303,1441,299,36104,5054,3695,10674,26954,1166,20031,585,14205,2064,923,1729,6748,3806,1599,12297,24,1380,76078,340548,26932,26914,18,5597,687,4185,497,1217,322,1599
BOTOSANI,2017,267269,266428,114207,834,14161,21240,533912,331,1209,2712,130748,33472,14715,12323,119825,36553,26715,882,18880,4484,18052,2418,7631,2082,3361,8814,386,2863,208841,390746,11617,11536,81,12755,1663,6200,755,2458,109,1310
IASI,2017,227820,227348,149796,287,16065,9747,486253,1597,2746,1479,79322,131086,11422,22449,67889,11629,30655,1187,28606,5219,23331,2845,7900,10292,2019,14467,676,3237,62366,334742,55453,54359,1094,11030,1847,8388,1381,7565,21,1423
NEAMT,2017,150821,150821,95214,1581,26861,13578,410563,9569,2230,390,116632,166058,18324,24518,40863,9397,17140,495,9948,2690,380,1561,3795,4258,1454,8780,226,1512,33003,342117,3098,3098,0,10083,856,4927,212,1598,16,1200
SUCEAVA,2017,175080,174875,76296,8161,13362,22235,203505,7872,1572,1378,364301,30353,58926,3782,7490,4678,51057,1491,11216,6233,438,2347,6418,8939,3824,15576,332,1219,230698,816491,0,0,0,24985,2762,6110,45,1104,0,1603
VASLUI,2017,203690,203241,142353,0,18040,5763,417976,495,2603,279,13650,306,16064,31185,122156,956,21759,340,11194,2201,13258,1445,4479,2021,1711,6843,384,1696,52332,137690,78955,77480,1475,7095,845,3176,673,2857,86,1058
BRAILA,2017,364000,363903,369267,252,158828,4828,624720,1457,13220,582,1329,14892,39,74001,276994,68134,1843,28,3091,309,44498,1063,5355,1866,31,3417,38,21,9352,311059,15079,13866,1213,745,355,2494,1820,1099,341,764
BUZAU,2017,256997,256982,281295,100,41179,3725,550616,3834,8038,636,13310,0,1306,99324,114617,5646,17174,679,24709,3670,46791,1744,4587,1266,1597,6060,88,405,17875,227248,83766,81613,2153,7367,1963,23897,1091,2315,838,1543
CONSTANTA,2017,474324,474232,952479,99,272190,17449,335854,2340,52183,424,7662,0,49,97882,258610,2838,5796,18,12361,1277,1329,833,1012,7704,319,8586,167,220,87869,81871,58135,53924,4211,503,290,4214,3784,1120,3305,594
GALATI,2017,269848,269433,186170,323,56912,3700,452929,1210,23390,825,10011,10053,0,48102,140280,14767,23963,1408,81323,57050,40940,10067,17568,11988,1486,16017,1188,2183,14232,173189,67772,65877,1895,3028,616,3071,959,2141,215,833
TULCEA,2017,259211,257700,395241,334,98227,4255,274807,11374,9263,1015,14079,0,49,61930,143812,11829,14613,670,10685,1709,11830,1839,3958,1778,640,9219,644,1768,28291,96318,39559,37872,1687,1179,409,248,92,66,19,38
VRANCEA,2017,122343,122343,106350,324,9338,9647,317381,172,586,434,26186,0,2474,8525,17119,329,18306,608,14504,1607,1916,2218,7408,3362,702,9822,205,1018,134572,131521,171567,144220,27347,10160,940,14688,532,2621,105,2637
ILFOV,2017,66455,66370,83430,0,16410,1604,65131,4253,3326,80,2838,0,0,22760,28594,234,19969,5211,21340,3020,10233,6151,6480,2223,822,3356,470,612,30207,38306,5040,5029,11,380,323,478,821,708,324,33
BUCURESTI,2017,75,54,0,0,3,0,21,0,0,0,0,0,0,0,2,0,0,0,26,813,8,10,0,0,0,0,0,0,128,241,0,0,0,0,0,0,0,0,0,0
ARGES,2017,153976,153976,188726,0,15221,15165,304315,23025,650,72,33453,0,11394,13721,34204,649,17426,0,23706,1719,697,1904,3033,1132,462,9400,105,870,34563,165904,4017,3945,72,12500,3208,53208,1301,2509,131,1826
CALARASI,2017,404528,405438,711818,63,167799,2850,711259,3164,33301,299,547,0,103,219456,108473,54886,2849,283,5527,503,2450,779,859,503,174,2038,348,402,50765,190014,19644,19637,7,737,575,692,265,98,152,188
DAMBOVITA,2017,162970,162958,137676,16,27764,15970,284143,9489,4397,343,46417,0,757,14931,30871,192,182743,1717,36348,9293,6254,9960,11975,15967,2072,15082,403,1060,61399,121685,1272,1249,23,43809,3689,19380,756,1644,273,1168
GIURGIU ,2017,241306,241275,386843,135,110530,1516,297957,12935,10067,100,3236,0,0,81688,85801,23513,17746,2860,21703,4755,4093,6374,7116,759,1399,3860,1097,385,49688,112370,16612,16070,542,1641,695,2086,1385,1525,212,788
IALOMITA,2017,350346,350110,600519,169,93857,1444,711300,732,27071,359,21,0,0,203855,140605,21042,13569,2747,8054,2671,61118,8948,21443,4132,608,4867,1291,884,35380,147906,18414,18324,90,164,50,493,359,253,94,67
PRAHOVA,2017,142118,141702,152335,0,19938,1038,287216,1197,2749,32,24387,0,2391,38471,46082,2082,14594,284,16511,2867,359,1644,3821,2502,1047,4292,332,862,51137,89084,45463,44488,975,7801,2256,18010,1373,1901,713,1745
